Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
Solana,SOL,01-01-2021,1.8596563,1.50203819,1.50977505,1.84208404,25722549.34,85785758.38
Solana,SOL,02-01-2021,1.98929513,1.72148226,1.84558571,1.79927479,31671063.54,83792133.54
Solana,SOL,03-01-2021,2.36498131,1.79990169,1.79990169,2.16175192,55073422.18,100672674.8
Solana,SOL,04-01-2021,2.48509738,1.87634191,2.16241208,2.48509738,59955404.84,115730856.2
Solana,SOL,05-01-2021,2.5026164,2.07774168,2.49098205,2.15721704,50555207.04,100461485.7
Solana,SOL,06-01-2021,2.18589242,1.90758532,2.15962593,1.92921661,50263975.13,89843517.75
Solana,SOL,07-01-2021,2.61183107,1.93304323,1.93658582,2.37274497,159870278.1,621424746
Solana,SOL,08-01-2021,3.77931969,2.18092864,2.36873958,3.21988746,206412154.2,843292264.9
Solana,SOL,09-01-2021,3.66278779,2.93830706,3.22354051,3.38538175,91906875.46,886634795.7
Solana,SOL,10-01-2021,3.73355136,3.19623456,3.39002648,3.46611077,62766977.36,907777180.3
Solana,SOL,11-01-2021,3.5135707,2.59712418,3.46106454,3.10808978,82877500.03,814011025
Solana,SOL,12-01-2021,3.84441586,3.08003501,3.10368771,3.61339822,73484689.24,946351027.9
Solana,SOL,13-01-2021,3.62882465,3.2749211,3.62838265,3.51378151,57994892.73,920261107.2
Solana,SOL,14-01-2021,3.54286624,3.18197394,3.51603553,3.27816427,59283112.22,858551672.5
Solana,SOL,15-01-2021,3.4359218,2.9851908,3.28039932,3.25016139,45331738.75,851217713.3
Solana,SOL,16-01-2021,3.70323219,3.24893408,3.24893408,3.44705468,68035606.39,902784093.6
Solana,SOL,17-01-2021,3.96537224,3.31974552,3.43486962,3.8181391,85407766.19,999971153.1
Solana,SOL,18-01-2021,4.14791988,3.65576095,3.82213112,3.79551495,70601712.77,994045884.3
Solana,SOL,19-01-2021,4.03144938,3.60902285,3.79204335,3.64186566,44547767.97,953805116.1
