Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
XRP,XRP,16-03-2021,0.51495941,0.43007769,0.43745378,0.46259998,7382009786,21003902721
XRP,XRP,17-03-2021,0.48331168,0.45706138,0.46282248,0.47241705,4341765347,21449637130
XRP,XRP,18-03-2021,0.49080923,0.45583595,0.47238267,0.47291937,3265976425,21472444568
XRP,XRP,19-03-2021,0.47838826,0.46343189,0.47279708,0.4711709,2626051305,21393057091
XRP,XRP,20-03-2021,0.55292916,0.47016115,0.47110529,0.52699085,6757879312,23927507591
XRP,XRP,21-03-2021,0.54637661,0.49992842,0.52741578,0.51983541,5539749484,23602621699
XRP,XRP,22-03-2021,0.60261755,0.505471,0.51981021,0.54994159,9732075816,24969563563
XRP,XRP,23-03-2021,0.5993134,0.54396987,0.55013452,0.55659505,7610195005,25271657446
XRP,XRP,24-03-2021,0.56467728,0.46928451,0.5562654,0.48883678,5446433135,22195159228
XRP,XRP,25-03-2021,0.5273677,0.47112817,0.48823362,0.51749833,6061921454,23496509077
XRP,XRP,26-03-2021,0.57497524,0.51651503,0.51738933,0.56705516,5807865028,25746588636
XRP,XRP,27-03-2021,0.5759183,0.53982448,0.56719305,0.55044347,3684247475,24992351034
XRP,XRP,28-03-2021,0.56220472,0.54547788,0.5503772,0.55075583,2795107715,25006533342
XRP,XRP,29-03-2021,0.57071113,0.54818312,0.55064518,0.56787082,3549650231,25783622951
XRP,XRP,30-03-2021,0.58590329,0.56308406,0.56773738,0.56685858,3831603058,25737663165
XRP,XRP,31-03-2021,0.57922815,0.54474573,0.56683339,0.57386946,4849764990,26055985343
XRP,XRP,01-04-2021,0.59581686,0.55900232,0.5739587,0.57929188,4725008531,26302184999
XRP,XRP,02-04-2021,0.61738232,0.57520311,0.57935997,0.6165688,5404854336,27994707394
XRP,XRP,03-04-2021,0.65335013,0.587748,0.61677892,0.59091504,6757992981,26829923528
XRP,XRP,04-04-2021,0.64697732,0.58301267,0.59090917,0.64672914,4613898769,29364108461
XRP,XRP,05-04-2021,0.93685533,0.63397378,0.64670265,0.92047305,26415199263,41793184885
XRP,XRP,06-04-2021,1.11791594,0.82440791,0.91691841,1.09626562,36955175105,49774875598
XRP,XRP,07-04-2021,1.10448837,0.8694135,1.09754682,0.91757616,21942171678,41661654118
XRP,XRP,08-04-2021,1.0725679,0.90562745,0.91905523,1.05275643,12888349509,47799382930
XRP,XRP,09-04-2021,1.08315914,0.9865853,1.05341665,1.02083654,10235269531,46350091394
XRP,XRP,10-04-2021,1.38995666,1.008636,1.02028161,1.37441607,25547794935,62404026788
XRP,XRP,11-04-2021,1.49207181,1.30882764,1.3720684,1.36053004,21224874412,61773544985
XRP,XRP,12-04-2021,1.47014512,1.32407719,1.35400393,1.46773497,13216559312,66641080474
XRP,XRP,13-04-2021,1.88843866,1.42303428,1.47008036,1.79400136,31123574741,81454889101
XRP,XRP,14-04-2021,1.96499722,1.57907721,1.79424796,1.83923574,29025829007,83508712026
XRP,XRP,15-04-2021,1.88281943,1.65810336,1.83728053,1.76606672,15403982671,80186544122
XRP,XRP,16-04-2021,1.80894771,1.44954797,1.75930329,1.55752673,20594074869,70717988351
XRP,XRP,17-04-2021,1.74052804,1.5415027,1.55302723,1.56005467,14507135285,70832766981
XRP,XRP,18-04-2021,1.57856653,1.17466477,1.55910369,1.4059981,22933939682,63837977820
XRP,XRP,19-04-2021,1.53038051,1.25830678,1.40945697,1.31504432,17637508685,59708309820
XRP,XRP,20-04-2021,1.44563629,1.18622792,1.30995108,1.38329899,15562116615,62807347013
XRP,XRP,21-04-2021,1.45853957,1.28282336,1.38615723,1.29649777,12545052977,58866221974
XRP,XRP,22-04-2021,1.4131924,1.11908634,1.29180686,1.15968188,14899537552,52654229111
XRP,XRP,23-04-2021,1.19400409,0.90107929,1.15713867,1.1696597,20235915090,53107262635
XRP,XRP,24-04-2021,1.17028365,1.02441676,1.17018987,1.04870583,8586287312,47615469344
XRP,XRP,25-04-2021,1.1530248,0.95291451,1.04948955,1.03225582,8573604939,46868572793
XRP,XRP,26-04-2021,1.3690773,1.01692068,1.03518329,1.36850552,15417459290,62135663610
XRP,XRP,27-04-2021,1.45973609,1.33118985,1.36674334,1.40095461,13584693517,63608983019
XRP,XRP,28-04-2021,1.44697452,1.28870135,1.40156322,1.35860097,9272726011,61685957513
XRP,XRP,29-04-2021,1.41833098,1.33094667,1.35796493,1.3993598,7633164142,63536572211
XRP,XRP,30-04-2021,1.63552098,1.37646807,1.39849999,1.59167357,14160854005,72268392381
XRP,XRP,01-05-2021,1.66501101,1.529947,1.59840905,1.65102495,8206771323,74963184004
XRP,XRP,02-05-2021,1.65633093,1.53361988,1.65196036,1.56264103,6933641361,70950198082
XRP,XRP,03-05-2021,1.62159853,1.5285558,1.56249349,1.5559947,7612512785,70648428004
XRP,XRP,04-05-2021,1.55723142,1.33866397,1.55595423,1.39237606,12855752789,63219482673
XRP,XRP,05-05-2021,1.62253647,1.37127434,1.38806972,1.61451155,13318453320,73305328518
XRP,XRP,06-05-2021,1.75881964,1.54732448,1.61550712,1.60058065,16099528279,72672809671
XRP,XRP,07-05-2021,1.69125827,1.51129109,1.60397992,1.58175517,10400571927,55532777769
XRP,XRP,08-05-2021,1.627185,1.54310028,1.58093989,1.56259835,6349608020,54860213883
XRP,XRP,09-05-2021,1.59341471,1.44412707,1.5634791,1.53529288,8243079607,53901564262
XRP,XRP,10-05-2021,1.62574078,1.25000258,1.53440728,1.38900575,11181774844,48765667888
XRP,XRP,11-05-2021,1.48685968,1.36367565,1.39183542,1.47768244,7973181908,51878958424
XRP,XRP,12-05-2021,1.54245329,1.24786361,1.47913626,1.24786361,9272699846,43810403721
XRP,XRP,13-05-2021,1.388924,1.20945694,1.27127315,1.35891006,12358993946,47709058585
XRP,XRP,14-05-2021,1.44222893,1.32454504,1.36334726,1.40291747,7570332417,49254085094
XRP,XRP,15-05-2021,1.58247834,1.32481202,1.40170561,1.48588012,13321419261,52166765091
XRP,XRP,16-05-2021,1.60798174,1.35151583,1.4874566,1.45260573,12405363634,50998556787
XRP,XRP,17-05-2021,1.55932523,1.32827902,1.44920368,1.49630034,13573485606,52532601631
XRP,XRP,18-05-2021,1.70220928,1.4769588,1.49410413,1.5907339,14847139298,55848005959
XRP,XRP,19-05-2021,1.64437979,0.87531797,1.59327046,1.07031315,20523476458,37576904035
XRP,XRP,20-05-2021,1.26844944,0.91181375,1.06153314,1.18553663,13626658452,54695173849
XRP,XRP,21-05-2021,1.21592606,0.86954786,1.18118321,1.0069763,10998911191,46457226450
XRP,XRP,22-05-2021,1.01533882,0.82644617,1.00957669,0.90631728,8750076614,41813285048
XRP,XRP,23-05-2021,0.96734611,0.65225395,0.90651086,0.79701534,10816054413,36770599361
XRP,XRP,24-05-2021,0.9985945,0.75859021,0.79316224,0.99283503,8239461926,45812985214
XRP,XRP,25-05-2021,1.05784017,0.88382712,0.9940301,0.97618689,8637179369,45044780046
XRP,XRP,26-05-2021,1.06694493,0.95010385,0.97583068,1.0337254,6376977398,47699814352
XRP,XRP,27-05-2021,1.042896,0.93561635,1.0335741,0.97023464,5204084865,44770121605
XRP,XRP,28-05-2021,0.98345998,0.84757099,0.97395242,0.90014845,6082828979,41536092428
XRP,XRP,29-05-2021,0.93979238,0.79506977,0.89949546,0.83178801,5156278121,38381695413
XRP,XRP,30-05-2021,0.93012743,0.79982496,0.83199443,0.90660881,4077064725,41834196844
XRP,XRP,31-05-2021,1.04902159,0.88255551,0.90638442,1.04658407,6277821474,48293159732
XRP,XRP,01-06-2021,1.09963865,0.97933673,1.04210205,1.01100086,5606414479,46658714117
XRP,XRP,02-06-2021,1.0497459,0.98136508,1.01121407,1.02440033,3598008182,47277113120
XRP,XRP,03-06-2021,1.07827517,1.00854876,1.02514565,1.04532119,3661357809,48242632209
XRP,XRP,04-06-2021,1.0452713,0.92016741,1.04510574,0.97019603,4638523697,44775529764
XRP,XRP,05-06-2021,0.99794697,0.89752881,0.96997903,0.92328578,3257149049,42610574444
XRP,XRP,06-06-2021,0.9495324,0.91875968,0.92348092,0.94528629,2308242807,43625920335
XRP,XRP,07-06-2021,0.97434637,0.84898196,0.94671788,0.86115488,3466113432,39743170142
XRP,XRP,08-06-2021,0.88549837,0.78864339,0.86278092,0.87578752,4491339501,40452252991
XRP,XRP,09-06-2021,0.92003365,0.83233097,0.87405799,0.92003365,3990884688,42495962615
XRP,XRP,10-06-2021,0.92782748,0.85379667,0.92132381,0.86918199,3157272780,40147146244
XRP,XRP,11-06-2021,0.87919072,0.83594306,0.8692466,0.84845025,2502880892,39189555813
XRP,XRP,12-06-2021,0.84787876,0.8076977,0.84787876,0.83268337,2731548390,38461290204
XRP,XRP,13-06-2021,0.88807749,0.81927254,0.83325198,0.88316045,3059837086,40792805237
XRP,XRP,14-06-2021,0.92611019,0.86381507,0.88304764,0.89289677,3005221040,41242521557
XRP,XRP,15-06-2021,0.90225335,0.86029048,0.88706886,0.88980016,3585820721,41113903952
XRP,XRP,16-06-2021,0.87337545,0.82755368,0.86685424,0.83190807,2916163481,38438955214
XRP,XRP,17-06-2021,0.86142898,0.8258751,0.83173338,0.84143816,2684672890,38879300577
XRP,XRP,18-06-2021,0.84491953,0.77498521,0.842324,0.79764845,2509639518,36855962940
XRP,XRP,19-06-2021,0.80686947,0.75870965,0.79830634,0.7616733,2208439278,35193703528
XRP,XRP,20-06-2021,0.78429488,0.69937224,0.76037673,0.77637699,3068578656,35873098744
XRP,XRP,21-06-2021,0.77979012,0.60517528,0.7747952,0.61038802,4048720475,28203450403
XRP,XRP,22-06-2021,0.64891896,0.5127098,0.60723167,0.54506708,4784173339,25206364296
XRP,XRP,23-06-2021,0.66054872,0.52366285,0.54694374,0.62653535,4239151745,28973825088
XRP,XRP,24-06-2021,0.69101019,0.61738169,0.63859048,0.67199983,2781916002,31076307998
XRP,XRP,25-06-2021,0.68846859,0.60338303,0.67291093,0.61332274,3120943105,28362814442
XRP,XRP,26-06-2021,0.63167604,0.58241476,0.61158601,0.61543549,2458620798,28460517498
XRP,XRP,27-06-2021,0.65177236,0.59764223,0.6169935,0.64692267,2329301222,29916626946
XRP,XRP,28-06-2021,0.65444544,0.62455104,0.64828473,0.64374639,2323398761,29769741286
XRP,XRP,29-06-2021,0.72772641,0.64235149,0.64394139,0.70172477,3325816845,32382442285
XRP,XRP,30-06-2021,0.71367337,0.6494562,0.70568132,0.70637445,3097076849,32597010801
XRP,XRP,01-07-2021,0.70478532,0.64679589,0.70478532,0.66118021,2553971177,30511435260
XRP,XRP,02-07-2021,0.66728684,0.63472596,0.65989024,0.65676289,2061607208,30307589485
XRP,XRP,03-07-2021,0.683677,0.64465289,0.65563879,0.67288818,1872819597,31051722073
XRP,XRP,04-07-2021,0.70778299,0.66580247,0.67321757,0.69494543,1885241527,32069596319
XRP,XRP,05-07-2021,0.69565342,0.64849214,0.69565342,0.65430037,2076373188,30193951998
XRP,XRP,06-07-2021,0.67992344,0.65267606,0.6530552,0.66540248,1938959239,30722840711
